Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Patrick Beverley,HOU,HOU @ NOP,04/16/2014,2013-14,L,22,14,4,6,66.7,2,3,66.7,4,5,80.0,0,2,2,2,0,0,4,0,3
Isaiah Canaan,HOU,HOU @ NOP,04/16/2014,2013-14,L,26,2,1,6,16.7,0,3,0.0,0,2,0.0,0,1,1,4,1,0,0,2,-8
Alexis Ajinca,NOP,NOP vs. HOU,04/16/2014,2013-14,W,23,11,5,7,71.4,0,0,-,1,2,50.0,1,3,4,2,1,3,1,4,-1
Robert Covington,HOU,HOU @ NOP,04/16/2014,2013-14,L,4,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,1,-3
Anthony Morrow,NOP,NOP vs. HOU,04/16/2014,2013-14,W,27,15,6,14,42.9,1,4,25.0,2,3,66.7,1,2,3,1,2,0,0,0,7
Donatas Motiejunas,HOU,HOU @ NOP,04/16/2014,2013-14,L,17,11,3,9,33.3,1,1,100,4,4,100,7,3,10,0,1,0,3,1,-12
Jordan Hamilton,HOU,HOU @ NOP,04/16/2014,2013-14,L,27,14,5,10,50.0,4,7,57.1,0,0,-,0,1,1,3,1,0,1,2,-7
Josh Powell,HOU,HOU @ NOP,04/16/2014,2013-14,L,19,4,2,6,33.3,0,0,-,0,0,-,0,5,5,0,0,1,1,1,-7
Jeff Withey,NOP,NOP vs. HOU,04/16/2014,2013-14,W,20,6,3,5,60.0,0,0,-,0,0,-,1,5,6,1,1,5,1,4,10
Melvin Ely,NOP,NOP vs. HOU,04/16/2014,2013-14,W,17,4,2,3,66.7,0,0,-,0,0,-,0,0,0,0,0,1,0,4,-11
Troy Daniels,HOU,HOU @ NOP,04/16/2014,2013-14,L,44,22,8,16,50.0,6,11,54.5,0,0,-,0,1,1,5,0,0,1,4,-2
Courtney Lee,MEM,MEM vs. DAL,04/16/2014,2013-14,W,35,11,3,10,30.0,2,8,25.0,3,3,100,0,1,1,3,0,0,2,1,6
