Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MEM,MEM vs. SAC,02/28/2020,2019-20,L,240,101,39,91,42.9,8,30,26.7,15,20,75.0,10,42,52,27,7,5,14,16,-3
SAC,SAC @ MEM,02/28/2020,2019-20,W,240,104,38,91,41.8,11,38,28.9,17,21,81.0,8,39,47,24,11,3,9,16,3
CHA,CHA @ TOR,02/28/2020,2019-20,W,240,99,34,78,43.6,13,30,43.3,18,25,72.0,11,47,58,23,3,8,18,22,3
TOR,TOR vs. CHA,02/28/2020,2019-20,L,240,96,33,95,34.7,10,43,23.3,20,29,69.0,14,31,45,19,11,3,5,25,-3
OKC,OKC @ MIL,02/28/2020,2019-20,L,240,86,33,91,36.3,6,35,17.1,14,20,70.0,5,31,36,14,8,3,14,15,-47
MIL,MIL vs. OKC,02/28/2020,2019-20,W,240,133,50,100,50.0,21,45,46.7,12,14,85.7,14,52,66,34,6,2,17,21,47
BKN,BKN @ ATL,02/28/2020,2019-20,L,240,118,42,92,45.7,18,46,39.1,16,21,76.2,7,31,38,30,5,8,13,19,-23
ATL,ATL vs. BKN,02/28/2020,2019-20,W,240,141,50,97,51.5,19,39,48.7,22,30,73.3,15,37,52,32,8,4,10,15,23
UTA,UTA vs. WAS,02/28/2020,2019-20,W,240,129,44,89,49.4,19,37,51.4,22,30,73.3,15,39,54,23,7,5,15,22,10
WAS,WAS @ UTA,02/28/2020,2019-20,L,240,119,45,98,45.9,14,37,37.8,15,21,71.4,13,28,41,23,12,4,11,20,-10
DAL,DAL @ MIA,02/28/2020,2019-20,L,240,118,40,84,47.6,21,50,42.0,17,19,89.5,4,31,35,25,0,3,11,25,-8
MIA,MIA vs. DAL,02/28/2020,2019-20,W,240,126,41,79,51.9,17,35,48.6,27,36,75.0,6,34,40,30,6,2,11,21,8
MIN,MIN @ ORL,02/28/2020,2019-20,L,240,125,46,95,48.4,17,44,38.6,16,24,66.7,6,27,33,27,10,6,15,20,-11
ORL,ORL vs. MIN,02/28/2020,2019-20,W,240,136,53,98,54.1,12,40,30.0,18,22,81.8,10,44,54,36,6,7,16,20,11
LAC,LAC vs. DEN,02/28/2020,2019-20,W,240,132,48,89,53.9,18,39,46.2,18,20,90.0,11,35,46,35,6,5,12,19,29
DEN,DEN @ LAC,02/28/2020,2019-20,L,240,103,41,91,45.1,9,25,36.0,12,16,75.0,13,26,39,19,7,6,15,18,-29
DET,DET @ PHX,02/28/2020,2019-20,W,240,113,44,90,48.9,13,32,40.6,12,16,75.0,10,21,31,27,14,3,10,19,2
